Program,Year,Cost_model,Avg_price,Enrollment,Completion_rate,Dropout_rate,Job_placement_rate,Avg_income_post_training,Training_duration_month,Delivery_mode,Region,Local_job_demand,Remote_job_demand,Total_job_demand,Talent_output,Employed_talent,Unemployed_talent,Total_revenue
ALX,2024,Subsidized,83278,47746,0.51,0.44,0.45,390925,5,Hybrid,North Central,4746,592,5338,24350,10957,13393,3976191388
ALX,2025,Free,0,10949,0.73,0.31,0.3,138810,3,Hybrid,South West,2697,341,3038,7992,2397,5595,0
3MTT,2025,Subsidized,66738,38929,0.8,0.2,0.31,326183,9,Hybrid,North East,1850,4957,6807,31143,9654,21489,2598043602
3MTT,2024,Subsidized,35282,19830,0.78,0.25,0.31,259526,10,Online,South East,4828,1731,6559,15467,4794,10673,699642060
ALX,2024,Subsidized,70085,34728,0.67,0.29,0.42,217888,9,Hybrid,North Central,1862,3248,5110,23267,9772,13495,2433911880
ALX,2023,Subsidized,91363,33262,0.85,0.19,0.63,397013,10,Hybrid,South South,1185,7224,8409,28272,17811,10461,3038916106
HNG,2025,Paid,428458,29665,0.83,0.17,0.33,124900,4,Hybrid,North Central,2144,7568,9712,24621,8124,16497,12710206570
3MTT,2022,Paid,371312,21461,0.84,0.17,0.56,112174,9,Hybrid,South West,3759,6517,10276,18027,10095,7932,7968726832
ALX,2024,Free,0,46214,0.85,0.14,0.6,319141,5,Online,South South,4374,4427,8801,39281,23568,15713,0
ALX,2024,Subsidized,50795,49568,0.89,0.09,0.44,353334,10,Online,South West,2361,3936,6297,44115,19410,24705,2517806560
HNG,2022,Free,0,21759,0.7,0.34,0.42,240105,2,Online,South South,1744,3000,4744,15231,6397,8834,0
ALX,2025,Subsidized,25410,18339,0.54,0.43,0.56,134245,2,Hybrid,North Central,1313,1359,2672,9903,5545,4358,465993990
ALX,2025,Free,0,37965,0.63,0.36,0.41,373481,7,Hybrid,North Central,1900,5663,7563,23917,9805,14112,0
3MTT,2022,Free,0,34123,0.67,0.37,0.59,102054,4,Online,South South,2274,3829,6103,22862,13488,9374,0
3MTT,2022,Paid,144363,46139,0.85,0.17,0.6,279919,2,Online,North East,1087,3521,4608,39218,23530,15688,6660764457
3MTT,2025,Free,0,13646,0.4,0.62,0.71,214832,5,Hybrid,North East,4133,5643,9776,5458,3875,1583,0
HNG,2022,Paid,387139,17477,0.45,0.56,0.57,306416,2,Hybrid,North East,2802,6384,9186,7864,4482,3382,6766028303
ALX,2023,Paid,448264,49853,0.58,0.43,0.31,144200,10,Online,South East,870,3355,4225,28914,8963,19951,22347305192
HNG,2024,Free,0,12277,0.66,0.37,0.8,364929,2,Online,South West,4463,2666,7129,8102,6481,1621,0
ALX,2022,Paid,320972,2498,0.42,0.54,0.58,199006,10,Online,North Central,1919,2524,4443,1049,608,441,801788056
HNG,2024,Subsidized,56268,25450,0.67,0.37,0.6,253921,4,Online,South East,3343,7190,10533,17051,10230,6821,1432020600
3MTT,2024,Paid,182279,15934,0.69,0.3,0.6,163555,2,Hybrid,North East,3080,206,3286,10994,6596,4398,2904433586
3MTT,2025,Free,0,28340,0.87,0.11,0.56,97297,4,Online,North West,4321,6738,11059,24655,13806,10849,0
3MTT,2022,Subsidized,28767,23352,0.67,0.36,0.59,175040,5,Online,South South,1557,7180,8737,15645,9230,6415,671766984
HNG,2025,Paid,324834,5152,0.59,0.36,0.32,283199,11,Online,North East,2409,6146,8555,3039,972,2067,1673544768
3MTT,2024,Free,0,2669,0.46,0.59,0.46,234245,5,Hybrid,South East,2516,996,3512,1227,564,663,0
3MTT,2024,Paid,433299,35204,0.59,0.39,0.57,82352,3,Online,South West,2490,1146,3636,20770,11838,8932,15253857996
ALX,2023,Subsidized,76882,5357,0.43,0.55,0.44,80138,8,Hybrid,North West,3556,1827,5383,2303,1013,1290,411856874
ALX,2025,Free,0,38272,0.71,0.29,0.5,397712,4,Hybrid,North East,2251,1437,3688,27173,13586,13587,0
3MTT,2025,Subsidized,97988,49480,0.47,0.57,0.66,286846,6,Hybrid,North West,1945,1908,3853,23255,15348,7907,4848446240
ALX,2025,Subsidized,48308,45289,0.8,0.16,0.7,126099,10,Hybrid,North East,982,2394,3376,36231,25361,10870,2187821012
HNG,2025,Subsidized,92702,13482,0.59,0.39,0.4,344598,10,Online,North East,3636,6010,9646,7954,3181,4773,1249808364
3MTT,2023,Paid,118354,22690,0.78,0.23,0.78,230575,10,Hybrid,South East,2484,5176,7660,17698,13804,3894,2685452260
3MTT,2025,Paid,140510,49433,0.53,0.42,0.79,261948,8,Hybrid,North East,2627,4317,6944,26199,20697,5502,6945830830
3MTT,2023,Paid,218325,19837,0.47,0.51,0.48,223016,9,Online,South West,4252,7670,11922,9323,4475,4848,4330913025
ALX,2024,Subsidized,30503,19725,0.81,0.17,0.31,243864,6,Online,South South,4336,1967,6303,15977,4952,11025,601671675
3MTT,2025,Free,0,11890,0.84,0.18,0.35,304790,10,Hybrid,South West,513,2214,2727,9987,3495,6492,0
HNG,2024,Paid,349415,24822,0.72,0.29,0.65,239292,4,Online,South West,2522,4457,6979,17871,11616,6255,8673179130
HNG,2025,Subsidized,66092,10850,0.51,0.53,0.5,228694,9,Hybrid,North West,3801,2980,6781,5533,2766,2767,717098200
ALX,2022,Paid,430048,16092,0.51,0.44,0.41,358710,8,Hybrid,South West,1689,1787,3476,8206,3364,4842,6920332416
HNG,2023,Subsidized,36237,42471,0.55,0.43,0.58,310604,8,Hybrid,North East,1135,3902,5037,23359,13548,9811,1539021627
ALX,2023,Subsidized,57713,8427,0.71,0.25,0.67,134238,2,Hybrid,South South,1909,3367,5276,5983,4008,1975,486347451
HNG,2023,Free,0,28490,0.69,0.31,0.47,160811,10,Hybrid,South South,767,4928,5695,19658,9239,10419,0
3MTT,2024,Paid,284456,6293,0.56,0.47,0.75,171218,2,Hybrid,South East,3592,2648,6240,3524,2643,881,1790081608
HNG,2024,Subsidized,82368,45359,0.72,0.3,0.3,223252,6,Online,South East,622,6104,6726,32658,9797,22861,3736130112
ALX,2022,Subsidized,91368,13320,0.64,0.37,0.8,388112,6,Hybrid,South East,1123,5872,6995,8524,6819,1705,1217021760
ALX,2024,Subsidized,25355,9583,0.83,0.14,0.58,191715,3,Hybrid,North Central,4524,3437,7961,7953,4612,3341,242976965
ALX,2023,Subsidized,71168,28247,0.74,0.27,0.45,98135,9,Online,South East,1039,3420,4459,20902,9405,11497,2010282496
HNG,2023,Free,0,9047,0.44,0.51,0.63,368816,7,Hybrid,North East,2200,3857,6057,3980,2507,1473,0
HNG,2022,Free,0,18699,0.82,0.2,0.77,293666,10,Online,South West,2164,4051,6215,15333,11806,3527,0
HNG,2025,Free,0,31628,0.88,0.12,0.64,361755,2,Hybrid,South East,2845,6291,9136,27832,17812,10020,0
ALX,2023,Free,0,6318,0.59,0.4,0.39,372575,6,Online,North Central,4125,2766,6891,3727,1453,2274,0
3MTT,2023,Paid,286740,21463,0.67,0.37,0.64,84426,9,Online,North Central,3675,5775,9450,14380,9203,5177,6154300620
3MTT,2023,Paid,354595,46171,0.43,0.54,0.42,373275,8,Hybrid,North East,615,5921,6536,19853,8338,11515,16372005745
3MTT,2024,Free,0,26923,0.9,0.1,0.78,266907,7,Online,North Central,3370,2609,5979,24230,18899,5331,0
3MTT,2023,Free,0,46973,0.56,0.42,0.79,266823,9,Hybrid,South East,2094,690,2784,26304,20780,5524,0
3MTT,2022,Paid,123091,33483,0.76,0.24,0.33,330541,3,Hybrid,North Central,2152,7963,10115,25447,8397,17050,4121455953
3MTT,2024,Subsidized,96721,27545,0.66,0.31,0.55,315796,6,Hybrid,South West,3745,2845,6590,18179,9998,8181,2664179945
HNG,2023,Subsidized,51433,43809,0.62,0.33,0.38,123527,2,Online,North West,2480,6393,8873,27161,10321,16840,2253228297
ALX,2024,Subsidized,48328,47875,0.72,0.28,0.5,153402,11,Hybrid,North Central,456,5920,6376,34470,17235,17235,2313703000
HNG,2024,Paid,458710,31373,0.41,0.62,0.67,340220,3,Online,North West,344,3095,3439,12862,8617,4245,14391108830
HNG,2023,Paid,316204,19293,0.64,0.38,0.42,173783,3,Hybrid,South South,185,3315,3500,12347,5185,7162,6100523772
3MTT,2022,Subsidized,38020,8655,0.86,0.11,0.62,208727,11,Hybrid,North East,3738,2703,6441,7443,4614,2829,329063100
ALX,2023,Free,0,16014,0.41,0.59,0.63,148323,10,Hybrid,North West,2276,3943,6219,6565,4135,2430,0
3MTT,2022,Paid,185744,28982,0.6,0.43,0.76,83696,8,Online,North East,2865,7384,10249,17389,13215,4174,5383232608
HNG,2022,Free,0,10695,0.69,0.3,0.72,143232,11,Hybrid,South South,3799,5585,9384,7379,5312,2067,0
ALX,2024,Free,0,21084,0.51,0.54,0.37,114540,10,Online,South East,4904,7623,12527,10752,3978,6774,0
ALX,2025,Paid,149812,23126,0.56,0.47,0.37,291142,8,Online,North East,4747,4700,9447,12950,4791,8159,3464552312
HNG,2025,Paid,174601,8775,0.65,0.32,0.6,253423,4,Hybrid,South West,3071,3765,6836,5703,3421,2282,1532123775
3MTT,2024,Subsidized,65026,35736,0.63,0.33,0.71,225342,5,Hybrid,South South,3707,2783,6490,22513,15984,6529,2323769136
HNG,2025,Paid,247745,27556,0.67,0.31,0.51,334205,6,Hybrid,North Central,924,7876,8800,18462,9415,9047,6826861220
3MTT,2025,Subsidized,54148,43133,0.5,0.47,0.31,380546,4,Hybrid,South East,4159,5139,9298,21566,6685,14881,2335565684
HNG,2024,Paid,145475,20124,0.82,0.17,0.45,224228,10,Hybrid,North West,305,7552,7857,16501,7425,9076,2927538900
HNG,2025,Paid,238286,31081,0.6,0.37,0.68,344852,9,Online,North West,4186,2022,6208,18648,12680,5968,7406167166
HNG,2023,Paid,178077,9212,0.53,0.48,0.54,148368,5,Hybrid,South East,252,5954,6206,4882,2636,2246,1640445324
3MTT,2022,Subsidized,22800,38578,0.65,0.34,0.77,362727,8,Online,South West,3172,1206,4378,25075,19307,5768,879578400
ALX,2023,Paid,133276,36932,0.42,0.54,0.37,142021,7,Hybrid,South East,2392,1738,4130,15511,5739,9772,4922149232
3MTT,2024,Free,0,26175,0.74,0.25,0.57,185410,11,Online,South East,1667,7207,8874,19369,11040,8329,0
HNG,2022,Paid,386762,35175,0.46,0.57,0.61,150305,8,Hybrid,North West,3072,4122,7194,16180,9869,6311,13604353350
HNG,2022,Free,0,41380,0.67,0.32,0.45,322188,4,Online,South East,3763,5186,8949,27724,12475,15249,0
ALX,2023,Free,0,4231,0.74,0.27,0.46,99477,4,Online,South South,2666,3477,6143,3130,1439,1691,0
ALX,2024,Subsidized,44335,11754,0.85,0.1,0.64,186464,2,Hybrid,South West,2478,2124,4602,9990,6393,3597,521113590
ALX,2025,Free,0,20052,0.62,0.42,0.6,343031,2,Hybrid,North East,4051,3760,7811,12432,7459,4973,0
ALX,2023,Free,0,26549,0.5,0.49,0.79,388307,7,Online,South West,3574,327,3901,13274,10486,2788,0
HNG,2022,Free,0,15666,0.62,0.43,0.33,184092,11,Online,North East,617,7937,8554,9712,3204,6508,0
3MTT,2025,Subsidized,82120,2488,0.49,0.52,0.4,298800,8,Online,North West,4973,6441,11414,1219,487,732,204314560
3MTT,2024,Subsidized,91291,11325,0.74,0.22,0.6,174876,7,Hybrid,North West,2700,5245,7945,8380,5028,3352,1033870575
ALX,2025,Paid,389134,16693,0.53,0.42,0.78,245582,11,Online,North Central,4755,7693,12448,8847,6900,1947,6495813862
3MTT,2024,Paid,151707,19189,0.83,0.21,0.35,266633,6,Online,North West,4857,3194,8051,15926,5574,10352,2911105623
3MTT,2024,Subsidized,75276,41743,0.71,0.28,0.77,333091,4,Online,North East,3591,3344,6935,29637,22820,6817,3142246068
3MTT,2023,Subsidized,44351,31481,0.89,0.07,0.3,158513,4,Hybrid,North West,1464,7494,8958,28018,8405,19613,1396213831
3MTT,2025,Paid,291758,29815,0.62,0.4,0.3,277467,2,Online,North Central,1164,2417,3581,18485,5545,12940,8698764770
HNG,2025,Free,0,28827,0.73,0.3,0.33,175667,2,Online,South West,4264,2546,6810,21043,6944,14099,0
HNG,2025,Paid,435932,28086,0.51,0.5,0.6,114397,8,Hybrid,North East,1673,2886,4559,14323,8593,5730,12243586152
ALX,2025,Paid,377068,48107,0.5,0.51,0.67,90103,9,Online,South West,589,7064,7653,24053,16115,7938,18139610276
3MTT,2022,Subsidized,44170,8524,0.57,0.47,0.76,223927,6,Hybrid,South South,3741,4658,8399,4858,3692,1166,376505080
ALX,2025,Subsidized,69831,43927,0.67,0.29,0.69,235489,7,Hybrid,North West,3869,7552,11421,29431,20307,9124,3067466337
3MTT,2025,Subsidized,48927,41594,0.43,0.57,0.76,279886,2,Online,North West,3081,6073,9154,17885,13592,4293,2035069638
3MTT,2022,Subsidized,51781,14152,0.48,0.48,0.39,229524,3,Online,North West,2768,6646,9414,6792,2648,4144,732804712
ALX,2024,Free,0,33463,0.86,0.13,0.58,399764,11,Hybrid,North Central,2691,766,3457,28778,16691,12087,0
3MTT,2025,Subsidized,86736,16221,0.54,0.43,0.46,211208,7,Online,South South,2694,7406,10100,8759,4029,4730,1406944656
HNG,2022,Subsidized,52854,11204,0.57,0.43,0.51,369662,7,Online,South South,3410,1900,5310,6386,3256,3130,592176216
ALX,2022,Subsidized,52115,6020,0.77,0.27,0.57,94955,3,Hybrid,South West,4953,4584,9537,4635,2641,1994,313732300
HNG,2022,Subsidized,50954,31635,0.85,0.12,0.48,386083,3,Online,North East,3711,7378,11089,26889,12906,13983,1611929790
HNG,2024,Paid,431310,48361,0.53,0.45,0.67,134935,9,Online,South South,236,7542,7778,25631,17172,8459,20858582910
3MTT,2023,Free,0,49670,0.74,0.25,0.68,311324,3,Hybrid,North West,4336,7101,11437,36755,24993,11762,0
3MTT,2023,Free,0,12707,0.87,0.15,0.55,173500,8,Hybrid,North East,4266,5588,9854,11055,6080,4975,0
3MTT,2023,Free,0,16310,0.5,0.5,0.51,327536,2,Online,North Central,350,1988,2338,8155,4159,3996,0
ALX,2024,Free,0,36968,0.51,0.51,0.74,316187,10,Hybrid,North Central,604,1821,2425,18853,13951,4902,0
3MTT,2024,Paid,333192,30394,0.63,0.34,0.73,84994,6,Hybrid,South West,2204,1455,3659,19148,13978,5170,10127037648
HNG,2024,Subsidized,97535,36987,0.84,0.15,0.57,287139,5,Online,North Central,4880,4377,9257,31069,17709,13360,3607527045
HNG,2022,Free,0,25065,0.62,0.43,0.58,159698,4,Hybrid,South West,4235,6402,10637,15540,9013,6527,0
ALX,2023,Paid,450067,3390,0.73,0.29,0.3,148842,3,Hybrid,North Central,770,7491,8261,2474,742,1732,1525727130
HNG,2022,Paid,416463,49036,0.69,0.3,0.57,243244,8,Hybrid,North East,3671,3992,7663,33834,19285,14549,20421679668
ALX,2022,Paid,382140,35886,0.48,0.49,0.75,188944,8,Online,North West,1912,7943,9855,17225,12918,4307,13713476040
HNG,2025,Subsidized,64516,22760,0.72,0.25,0.54,119178,7,Hybrid,North West,1054,2633,3687,16387,8848,7539,1468384160
HNG,2023,Subsidized,63307,45950,0.49,0.47,0.65,129522,11,Online,North East,483,6405,6888,22515,14634,7881,2908956650
HNG,2022,Paid,284514,12726,0.72,0.26,0.43,117019,6,Hybrid,South West,1022,3115,4137,9162,3939,5223,3620725164
ALX,2023,Subsidized,72198,49064,0.81,0.22,0.68,105939,11,Online,South East,303,360,663,39741,27023,12718,3542322672
3MTT,2022,Paid,479413,1593,0.61,0.43,0.71,230331,9,Hybrid,North East,3859,3149,7008,971,689,282,763704909
3MTT,2025,Subsidized,64535,16603,0.77,0.22,0.63,177537,9,Online,North Central,1305,5188,6493,12784,8053,4731,1071474605
HNG,2025,Paid,175403,41758,0.87,0.16,0.64,379372,4,Online,South South,2928,6200,9128,36329,23250,13079,7324478474
ALX,2025,Paid,423258,5094,0.6,0.35,0.34,348788,4,Hybrid,South West,3586,2709,6295,3056,1039,2017,2156076252
HNG,2022,Paid,458606,37107,0.71,0.3,0.61,309204,11,Online,North Central,167,1796,1963,26345,16070,10275,17017492842
3MTT,2024,Paid,241994,36789,0.75,0.24,0.41,295250,8,Hybrid,North West,2687,3462,6149,27591,11312,16279,8902717266
ALX,2022,Paid,384308,36095,0.65,0.39,0.53,159768,3,Online,South West,1198,2524,3722,23461,12434,11027,13871597260
3MTT,2024,Free,0,1070,0.75,0.26,0.44,333187,2,Online,South East,4601,1949,6550,802,352,450,0
HNG,2024,Free,0,45648,0.87,0.09,0.64,354336,8,Online,North West,306,5075,5381,39713,25416,14297,0
HNG,2025,Subsidized,88226,40591,0.64,0.35,0.38,302128,7,Hybrid,South East,1710,3123,4833,25978,9871,16107,3581181566
ALX,2023,Free,0,45851,0.52,0.52,0.61,381494,8,Hybrid,South South,1054,1462,2516,23842,14543,9299,0
ALX,2022,Paid,188151,3827,0.8,0.25,0.32,195945,2,Online,North Central,1330,2854,4184,3061,979,2082,720053877
3MTT,2023,Subsidized,75571,15215,0.43,0.62,0.71,115903,11,Hybrid,South South,4689,1746,6435,6542,4644,1898,1149812765
HNG,2023,Paid,217305,47381,0.64,0.32,0.77,125619,6,Hybrid,North West,2140,6127,8267,30323,23348,6975,10296128205
ALX,2025,Paid,452365,49843,0.55,0.42,0.36,333347,5,Online,North East,3257,3787,7044,27413,9868,17545,22547228695
ALX,2023,Subsidized,38814,18763,0.48,0.48,0.54,300534,6,Hybrid,South West,1389,1647,3036,9006,4863,4143,728267082
HNG,2025,Paid,482891,20067,0.49,0.55,0.52,367710,11,Online,North East,325,976,1301,9832,5112,4720,9690173697
HNG,2022,Free,0,33955,0.67,0.38,0.63,196841,8,Online,South South,2996,3303,6299,22749,14331,8418,0
3MTT,2025,Subsidized,48378,40392,0.64,0.38,0.55,194091,7,Online,South East,326,4343,4669,25850,14217,11633,1954084176
HNG,2025,Paid,290246,45239,0.61,0.39,0.75,203728,2,Online,South West,1981,469,2450,27595,20696,6899,13130438794
ALX,2023,Paid,408295,49420,0.77,0.21,0.37,161972,4,Hybrid,North West,2885,919,3804,38053,14079,23974,20177938900
HNG,2025,Free,0,7355,0.68,0.31,0.69,91874,11,Online,North West,926,6118,7044,5001,3450,1551,0
3MTT,2024,Free,0,49959,0.74,0.23,0.41,287609,5,Online,South West,4720,7924,12644,36969,15157,21812,0
ALX,2023,Subsidized,93648,41735,0.59,0.38,0.43,149504,2,Hybrid,North East,4304,7646,11950,24623,10587,14036,3908399280
HNG,2025,Paid,297742,11438,0.69,0.26,0.69,394639,8,Hybrid,South West,821,7878,8699,7892,5445,2447,3405572996
3MTT,2023,Paid,270591,35024,0.75,0.25,0.64,261871,8,Online,North West,242,5520,5762,26268,16811,9457,9477179184
HNG,2025,Paid,409718,43891,0.42,0.59,0.52,376629,2,Hybrid,North West,3891,1488,5379,18434,9585,8849,17982932738
ALX,2025,Free,0,20192,0.46,0.55,0.44,226621,2,Online,North East,982,4434,5416,9288,4086,5202,0
ALX,2024,Paid,384944,43923,0.68,0.36,0.72,256469,3,Hybrid,South South,592,391,983,29867,21504,8363,16907895312
ALX,2023,Free,0,43428,0.52,0.46,0.32,365810,3,Online,North West,970,4963,5933,22582,7226,15356,0
ALX,2022,Subsidized,31410,15019,0.56,0.47,0.77,308931,7,Hybrid,North Central,3847,2305,6152,8410,6475,1935,471746790
3MTT,2025,Subsidized,88895,30148,0.75,0.26,0.8,307579,4,Hybrid,North West,4991,5192,10183,22611,18088,4523,2680006460
HNG,2023,Free,0,13755,0.87,0.13,0.4,386063,9,Hybrid,South West,2896,736,3632,11966,4786,7180,0
ALX,2023,Paid,428953,28043,0.64,0.38,0.68,124041,4,Online,South South,2077,3554,5631,17947,12203,5744,12029128979
3MTT,2024,Paid,292971,12892,0.73,0.26,0.5,360926,3,Hybrid,South East,4282,1911,6193,9411,4705,4706,3776982132
ALX,2025,Free,0,42729,0.5,0.47,0.47,191576,5,Online,South East,3897,5788,9685,21364,10041,11323,0
HNG,2022,Free,0,46439,0.54,0.46,0.45,134195,10,Online,North Central,3037,2317,5354,25077,11284,13793,0
3MTT,2024,Paid,272502,2487,0.69,0.27,0.74,388071,8,Hybrid,North West,3723,7609,11332,1716,1269,447,677712474
HNG,2022,Free,0,4283,0.81,0.22,0.35,323767,7,Online,South South,684,5890,6574,3469,1214,2255,0
HNG,2022,Paid,212669,6398,0.67,0.29,0.39,201724,7,Hybrid,North East,4801,2704,7505,4286,1671,2615,1360656262
ALX,2024,Subsidized,85006,29845,0.43,0.53,0.65,265782,7,Hybrid,South South,2258,2632,4890,12833,8341,4492,2537004070
3MTT,2022,Paid,279689,7337,0.85,0.17,0.34,123618,9,Hybrid,North Central,4724,2237,6961,6236,2120,4116,2052078193
HNG,2022,Free,0,49817,0.63,0.37,0.72,283117,9,Online,South West,3680,468,4148,31384,22596,8788,0
3MTT,2024,Free,0,34283,0.87,0.09,0.77,202672,8,Online,North East,3176,1185,4361,29826,22966,6860,0
HNG,2023,Paid,261215,29925,0.89,0.12,0.66,356863,8,Online,North West,4770,7858,12628,26633,17577,9056,7816858875
ALX,2025,Paid,189424,27014,0.52,0.5,0.77,221355,9,Hybrid,South South,4340,3598,7938,14047,10816,3231,5117099936
ALX,2023,Free,0,35670,0.58,0.41,0.64,180260,5,Hybrid,North West,4927,6231,11158,20688,13240,7448,0
HNG,2025,Free,0,48461,0.48,0.56,0.58,326517,9,Hybrid,North West,2306,6544,8850,23261,13491,9770,0
ALX,2022,Subsidized,72999,36843,0.63,0.36,0.46,316495,4,Hybrid,North East,3401,857,4258,23211,10677,12534,2689502157
HNG,2022,Free,0,27856,0.6,0.39,0.75,268868,7,Hybrid,North East,2641,6963,9604,16713,12534,4179,0
3MTT,2024,Subsidized,61247,39005,0.82,0.18,0.56,269651,7,Hybrid,North West,4642,5130,9772,31984,17911,14073,2388939235
HNG,2024,Paid,457776,40531,0.88,0.11,0.66,139807,7,Hybrid,South West,3462,7901,11363,35667,23540,12127,18554119056
3MTT,2025,Subsidized,34191,19690,0.53,0.52,0.31,136635,8,Hybrid,North Central,940,2014,2954,10435,3234,7201,673220790
HNG,2024,Free,0,20130,0.61,0.39,0.76,274840,3,Online,North Central,1709,917,2626,12279,9332,2947,0
HNG,2022,Subsidized,50009,45930,0.8,0.16,0.38,303279,3,Hybrid,North West,1720,6748,8468,36744,13962,22782,2296913370
HNG,2022,Paid,458902,20676,0.52,0.52,0.76,388009,3,Hybrid,North West,883,440,1323,10751,8170,2581,9488257752
ALX,2023,Paid,477844,8878,0.69,0.26,0.69,236078,11,Hybrid,South East,1456,6219,7675,6125,4226,1899,4242299032
ALX,2023,Subsidized,24922,5186,0.54,0.5,0.49,354349,9,Hybrid,South East,240,1989,2229,2800,1372,1428,129245492
ALX,2022,Paid,423836,17348,0.51,0.52,0.77,183119,5,Hybrid,South West,1984,7542,9526,8847,6812,2035,7352706928
3MTT,2023,Paid,385071,1594,0.43,0.57,0.52,297282,5,Online,South West,4656,4913,9569,685,356,329,613803174
3MTT,2025,Free,0,24362,0.48,0.48,0.43,83969,7,Hybrid,North East,1049,4139,5188,11693,5027,6666,0
HNG,2022,Paid,186486,43541,0.5,0.51,0.43,211763,5,Online,South East,3506,6784,10290,21770,9361,12409,8119786926
3MTT,2025,Subsidized,48164,25991,0.73,0.27,0.34,196547,3,Online,North East,4813,5926,10739,18973,6450,12523,1251830524
ALX,2025,Paid,440130,11180,0.65,0.36,0.79,342431,3,Online,South East,1261,329,1590,7267,5740,1527,4920653400
HNG,2025,Free,0,39251,0.83,0.14,0.77,83178,9,Online,North West,986,540,1526,32578,25085,7493,0
ALX,2023,Paid,190417,35922,0.64,0.36,0.4,232756,11,Online,North East,1231,2778,4009,22990,9196,13794,6840159474
HNG,2024,Subsidized,66250,7998,0.82,0.16,0.64,95216,7,Hybrid,North Central,4851,6217,11068,6558,4197,2361,529867500
HNG,2023,Subsidized,82559,5373,0.75,0.22,0.61,114152,7,Hybrid,South South,1369,1460,2829,4029,2457,1572,443589507
HNG,2022,Subsidized,79754,30478,0.77,0.21,0.54,193985,9,Online,South East,1981,4496,6477,23468,12672,10796,2430742412
HNG,2025,Free,0,4309,0.82,0.18,0.69,292603,5,Hybrid,South West,1509,1894,3403,3533,2437,1096,0
3MTT,2023,Subsidized,27452,41986,0.85,0.16,0.58,227735,6,Hybrid,South West,2993,6188,9181,35688,20699,14989,1152599672
HNG,2025,Subsidized,41153,5747,0.83,0.14,0.73,159267,7,Hybrid,South South,4635,2976,7611,4770,3482,1288,236506291
3MTT,2022,Subsidized,93922,17546,0.4,0.58,0.41,156436,9,Online,South West,3914,2214,6128,7018,2877,4141,1647955412
HNG,2023,Free,0,7648,0.82,0.14,0.36,331435,2,Online,South West,4751,809,5560,6271,2257,4014,0
3MTT,2022,Paid,313363,23882,0.76,0.27,0.36,211936,6,Online,North West,884,4771,5655,18150,6534,11616,7483735166
ALX,2023,Subsidized,89590,1435,0.85,0.18,0.75,128924,7,Online,North Central,3961,2185,6146,1219,914,305,128561650
3MTT,2022,Paid,378104,31291,0.45,0.53,0.35,153290,8,Online,South West,1467,4242,5709,14080,4928,9152,11831252264
3MTT,2023,Subsidized,88111,40022,0.85,0.15,0.46,169524,2,Online,North East,4096,1051,5147,34018,15648,18370,3526378442
HNG,2025,Free,0,3494,0.58,0.44,0.63,316907,5,Online,South East,3244,5998,9242,2026,1276,750,0
ALX,2023,Paid,205573,7630,0.71,0.26,0.31,228955,5,Online,South South,4025,5362,9387,5417,1679,3738,1568521990
ALX,2025,Subsidized,37241,23654,0.64,0.37,0.57,274999,4,Hybrid,North West,4975,5526,10501,15138,8628,6510,880898614
ALX,2024,Subsidized,96441,46621,0.81,0.14,0.55,215909,2,Hybrid,South East,4523,1666,6189,37763,20769,16994,4496175861
HNG,2024,Paid,188422,44848,0.9,0.12,0.69,176907,4,Online,South South,4241,4092,8333,40363,27850,12513,8450349856
3MTT,2022,Free,0,21097,0.55,0.5,0.61,201136,8,Hybrid,North East,2670,3619,6289,11603,7077,4526,0
HNG,2022,Paid,469430,20453,0.69,0.36,0.49,187573,4,Online,South East,2929,2581,5510,14112,6914,7198,9601251790
ALX,2023,Free,0,13507,0.46,0.58,0.74,338669,9,Online,North West,2765,706,3471,6213,4597,1616,0
ALX,2022,Subsidized,61203,25581,0.43,0.6,0.77,111728,10,Hybrid,North East,1564,590,2154,10999,8469,2530,1565633943
3MTT,2023,Subsidized,42490,46375,0.55,0.42,0.64,81539,2,Hybrid,North West,601,929,1530,25506,16323,9183,1970473750
3MTT,2024,Subsidized,89922,32763,0.57,0.46,0.57,323322,10,Hybrid,South East,607,1636,2243,18674,10644,8030,2946114486
ALX,2024,Paid,238426,44562,0.7,0.26,0.77,108633,8,Online,South East,1401,7570,8971,31193,24018,7175,10624739412
HNG,2025,Subsidized,20692,29426,0.87,0.09,0.74,85209,7,Hybrid,South East,1835,3935,5770,25600,18944,6656,608882792
HNG,2024,Free,0,12677,0.69,0.35,0.64,237195,7,Hybrid,North West,3594,1104,4698,8747,5598,3149,0
HNG,2022,Paid,126140,1684,0.68,0.31,0.61,347750,6,Hybrid,South West,373,2506,2879,1145,698,447,212419760
ALX,2024,Subsidized,46347,33689,0.51,0.48,0.32,307705,5,Online,North East,3367,5176,8543,17181,5497,11684,1561384083
HNG,2022,Subsidized,37857,20127,0.87,0.13,0.52,255188,8,Online,South West,1535,423,1958,17510,9105,8405,761947839
ALX,2024,Free,0,42413,0.49,0.47,0.6,167593,6,Hybrid,North West,1453,3522,4975,20782,12469,8313,0
ALX,2023,Paid,468582,1424,0.41,0.55,0.67,170140,4,Hybrid,South East,2770,3565,6335,583,390,193,667260768
3MTT,2022,Paid,185058,9595,0.54,0.43,0.54,122674,6,Online,South South,3187,5652,8839,5181,2797,2384,1775631510
